World_ID,Heuristic,Success,Collided,Timeout,Time_Taken(s),Nav_Metric
90,new,True,False,False,9.9080,0.5000
90,new,True,False,False,12.4260,0.4536
90,new,True,False,False,12.4700,0.4520
93,new,True,False,False,6.3930,0.5000
93,new,True,False,False,4.7600,0.5000
93,new,True,False,False,6.3940,0.5000
93,new,True,False,False,7.3530,0.5000
93,new,True,False,False,4.8600,0.5000
96,new,True,False,False,10.7530,0.5000
96,new,True,False,False,10.6620,0.5000
96,new,True,False,False,10.5470,0.5000
96,new,True,False,False,10.6160,0.5000
96,new,True,False,False,10.5910,0.5000
99,new,True,False,False,36.5590,0.1565
99,new,True,False,False,15.1600,0.3774
99,new,True,False,False,14.9890,0.3817
99,new,True,False,False,15.1660,0.3772
99,new,False,True,False,3.9890,0.0000
102,new,True,False,False,12.1020,0.4347
102,new,True,False,False,11.8600,0.4435
102,new,True,False,False,12.3570,0.4257
102,new,True,False,False,12.0400,0.4369
102,new,True,False,False,12.2520,0.4293
105,new,False,True,False,15.1390,0.0000
105,new,False,True,False,12.0590,0.0000
105,new,True,False,False,16.8550,0.3339
105,new,True,False,False,13.6160,0.4134
105,new,True,False,False,13.8130,0.4075
108,new,True,False,False,9.2950,0.5000
108,new,True,False,False,9.2460,0.5000
108,new,True,False,False,9.2620,0.5000
108,new,True,False,False,9.1240,0.5000
108,new,True,False,False,9.2318,0.5000
111,new,False,True,False,15.9910,0.0000
111,new,True,False,False,48.3330,0.1397
111,new,True,False,False,77.2040,0.1250
111,new,True,False,False,64.9650,0.1250
111,new,False,False,True,100.0290,0.0000
114,new,True,False,False,21.4490,0.2896
114,new,True,False,False,13.9340,0.4458
114,new,True,False,False,14.0750,0.4414
114,new,True,False,False,13.5610,0.4581
114,new,True,False,False,14.3030,0.4343
117,new,True,False,False,22.8790,0.2606
117,new,True,False,False,16.7300,0.3563
117,new,True,False,False,16.3210,0.3653
117,new,True,False,False,16.4490,0.3624
117,new,True,False,False,17.5070,0.3405
120,new,True,False,False,29.3710,0.1988
120,new,True,False,False,41.3950,0.1411
120,new,True,False,False,28.3730,0.2058
120,new,False,True,False,14.9930,0.0000
120,new,False,True,False,17.0130,0.0000
123,new,True,False,False,13.1130,0.4325
123,new,True,False,False,13.0190,0.4357
123,new,True,False,False,12.8930,0.4399
123,new,True,False,False,12.8890,0.4401
123,new,False,True,False,13.4120,0.0000
126,new,True,False,False,12.0470,0.4634
126,new,True,False,False,12.3430,0.4523
126,new,True,False,False,12.2340,0.4564
126,new,True,False,False,12.0680,0.4626
126,new,True,False,False,12.2280,0.4566
129,new,True,False,False,9.7520,0.5000
129,new,True,False,False,13.1300,0.4358
129,new,True,False,False,9.8380,0.5000
129,new,True,False,False,10.1890,0.5000
129,new,True,False,False,12.8650,0.4447
132,new,True,False,False,14.4710,0.3834
132,new,True,False,False,14.4500,0.3839
132,new,True,False,False,14.6990,0.3774
132,new,True,False,False,14.7980,0.3749
132,new,True,False,False,14.3650,0.3862
135,new,True,False,False,8.4790,0.5000
135,new,True,False,False,12.6370,0.4188
135,new,True,False,False,8.5450,0.5000
135,new,True,False,False,8.3000,0.5000
135,new,True,False,False,8.5730,0.5000
138,new,True,False,False,15.8510,0.4304
138,new,True,False,False,20.0630,0.3401
138,new,True,False,False,14.9540,0.4562
138,new,True,False,False,15.4900,0.4404
138,new,True,False,False,15.8550,0.4303
141,new,True,False,False,9.6110,0.5000
